type,num_queries,queries_per_second,latency_mean_us,latency_stddev_us
Multiplexed,50000,14688.72,68.04,7.94
Exclusive,50000,15308.57,65.28,8.43
Exclusive,50000,14809.80,67.48,7.78
Multiplexed,50000,15284.24,65.39,5.15
Multiplexed,50000,15306.23,65.29,4.08
Exclusive,50000,15565.91,64.19,3.21
Exclusive,50000,15660.61,63.81,3.31
Multiplexed,50000,15350.76,65.10,3.88
Multiplexed,50000,14327.97,69.75,5.29
Exclusive,50000,15491.09,64.50,3.54
Exclusive,50000,15513.85,64.40,4.36
Multiplexed,50000,15349.27,65.11,2.96
Multiplexed,50000,15227.90,65.63,2.72
Exclusive,50000,15468.19,64.60,3.67
Exclusive,50000,15296.09,65.33,3.50
Multiplexed,50000,15226.26,65.64,2.53
Multiplexed,50000,15151.92,65.96,4.38
Exclusive,50000,15471.46,64.58,2.35
Exclusive,50000,15390.66,64.93,3.04
Multiplexed,50000,14888.47,67.13,4.40
