type,num_queries,queries_per_second,latency_mean_us,latency_stddev_us
PerRequest,10000,1880.71,52696.63,7282.54
Coalesced,10000,1872.95,53015.40,7659.20
Coalesced,10000,1636.30,60925.70,25981.95
PerRequest,10000,1871.07,53064.54,9344.77
PerRequest,10000,1841.15,53934.52,10470.27
Coalesced,10000,1867.18,53425.96,9764.90
Coalesced,10000,1852.17,53705.26,9159.67
PerRequest,10000,1868.02,53459.18,10049.53
PerRequest,10000,1828.46,54368.37,12046.87
Coalesced,10000,1890.60,52434.53,8024.57
Coalesced,10000,1905.48,52157.03,7875.25
PerRequest,10000,1933.97,51480.22,7238.16
PerRequest,10000,1884.86,52926.24,8655.42
Coalesced,10000,1867.88,53266.59,8523.60
Coalesced,10000,1829.68,54164.76,9289.82
PerRequest,10000,1857.89,53396.79,8481.21
PerRequest,10000,1866.01,53318.32,8295.73
Coalesced,10000,1891.82,52736.03,8620.60
Coalesced,10000,1844.63,53922.90,9436.28
PerRequest,10000,1896.12,52650.54,8796.75
