type,num_queries,queries_per_second,latency_mean_us,latency_stddev_us
PerRequest,100000,19716.91,5069.17,247.82
Coalesced,100000,19937.42,5013.20,193.89
Coalesced,100000,19737.35,5064.04,151.94
PerRequest,100000,19738.90,5063.59,114.70
PerRequest,100000,19730.57,5065.65,96.77
Coalesced,100000,19685.26,5077.39,117.40
Coalesced,100000,19831.80,5039.91,190.35
PerRequest,100000,19920.60,5017.30,112.47
PerRequest,100000,19381.90,5156.90,319.52
Coalesced,100000,19939.37,5012.68,147.50
Coalesced,100000,19759.32,5058.36,98.78
PerRequest,100000,19381.75,5156.88,168.29
PerRequest,100000,19230.78,5197.46,359.53
Coalesced,100000,19673.14,5080.52,120.29
Coalesced,100000,19677.29,5079.45,104.56
PerRequest,100000,19637.30,5089.78,93.51
PerRequest,100000,19695.98,5074.62,93.93
Coalesced,100000,19703.34,5072.74,143.46
Coalesced,100000,19606.13,5097.92,102.55
PerRequest,100000,19263.73,5188.54,198.31
